WARD,NEIGHBOURHOOD_NUMBER,STRUCTURE_TYPE,OCCUPIED,UNOCCUPIED,NO_LONGER_IN_USE,NO_RESPONSE
Ward 1,4486,Hotel/Motel,0,0,0,0
Ward 1,4486,RV/Tent/Other,0,0,0,0
Ward 1,4486,No Response,0,0,0,0
Ward 1,4487,Single Detached House,647,23,9,0
Ward 1,4487,Duplex/Fourplex,3,0,0,0
Ward 1,4487,Row House,72,2,0,0
Ward 1,4487,Apartment (5+ stories),0,0,0,0
Ward 1,4487,Apartment (1-4 stories),0,0,0,0
Ward 1,4487,Manufactured/Mobile Home,0,0,0,0
Ward 1,4487,Institution/Collective Residence,0,1,0,0
Ward 1,4487,Hotel/Motel,0,0,0,0
Ward 1,4487,RV/Tent/Other,0,0,0,0
Ward 1,4487,No Response,0,0,0,0
Ward 1,4490,Single Detached House,0,0,0,0
Ward 1,4490,Duplex/Fourplex,0,0,0,0
Ward 1,4490,Row House,0,0,0,0
Ward 1,4490,Apartment (5+ stories),0,0,0,0
Ward 1,4490,Apartment (1-4 stories),0,0,0,0
Ward 1,4490,Manufactured/Mobile Home,0,0,0,0
Ward 1,4490,Institution/Collective Residence,0,0,0,0
Ward 1,4490,Hotel/Motel,0,0,0,0
Ward 1,4490,RV/Tent/Other,0,0,0,0
Ward 1,4490,No Response,0,0,0,0
Ward 1,4500,Single Detached House,350,23,7,0
Ward 1,4500,Duplex/Fourplex,20,3,1,0
Ward 1,4500,Row House,15,1,0,0
Ward 1,4500,Apartment (5+ stories),0,0,0,0
Ward 1,4500,Apartment (1-4 stories),201,12,0,0
Ward 1,4500,Manufactured/Mobile Home,0,0,0,0
Ward 1,4500,Institution/Collective Residence,0,0,0,0
Ward 1,4500,Hotel/Motel,0,0,0,0
Ward 1,4500,RV/Tent/Other,0,0,0,0
Ward 1,4500,No Response,0,0,0,0
Ward 1,4510,Single Detached House,0,0,0,0
Ward 1,4510,Duplex/Fourplex,0,0,0,0
Ward 1,4510,Row House,0,0,0,0
Ward 1,4510,Apartment (5+ stories),0,0,0,0
Ward 1,4510,Apartment (1-4 stories),0,0,0,0
Ward 1,4510,Manufactured/Mobile Home,0,0,0,0
Ward 1,4510,Institution/Collective Residence,0,0,0,0
Ward 1,4510,Hotel/Motel,0,0,0,0
Ward 1,4510,RV/Tent/Other,0,0,0,0
Ward 1,4510,No Response,0,0,0,0
Ward 1,4520,Single Detached House,272,5,1,0
Ward 1,4520,Duplex/Fourplex,49,1,0,0
Ward 1,4520,Row House,80,4,1,0
Ward 1,4520,Apartment (5+ stories),0,0,0,0
Ward 1,4520,Apartment (1-4 stories),442,11,1,0
Ward 1,4520,Manufactured/Mobile Home,0,0,0,0
Ward 1,4520,Institution/Collective Residence,66,70,0,0
Ward 1,4520,Hotel/Motel,0,1,0,0
Ward 1,4520,RV/Tent/Other,0,0,0,0
Ward 1,4520,No Response,0,0,0,0
Ward 1,4530,Single Detached House,0,0,0,0
Ward 1,4530,Duplex/Fourplex,0,0,0,0
Ward 1,4530,Row House,0,0,0,0
Ward 1,4530,Apartment (5+ stories),0,0,0,0
Ward 1,4530,Apartment (1-4 stories),0,0,0,0
Ward 1,4530,Manufactured/Mobile Home,0,0,0,0
Ward 1,4530,Institution/Collective Residence,0,0,0,0
Ward 1,4530,Hotel/Motel,0,0,0,0
Ward 1,4530,RV/Tent/Other,0,0,0,0
Ward 1,4530,No Response,0,0,0,0
Ward 1,4540,Single Detached House,1,1,3,0
Ward 1,4540,Duplex/Fourplex,50,3,0,0
Ward 1,4540,Row House,329,4,0,0
Ward 1,4540,Apartment (5+ stories),87,85,0,0
Ward 1,4540,Apartment (1-4 stories),743,38,1,0
Ward 1,4540,Manufactured/Mobile Home,0,0,0,0
Ward 1,4540,Institution/Collective Residence,79,19,5,0
Ward 1,4540,Hotel/Motel,0,0,0,0
Ward 1,4540,RV/Tent/Other,1,0,2,0
Ward 1,4540,No Response,0,0,0,0
Ward 1,4580,Single Detached House,577,18,27,0
Ward 1,4580,Duplex/Fourplex,67,1,3,0
Ward 1,4580,Row House,0,0,0,0
Ward 1,4580,Apartment (5+ stories),87,2,0,0
Ward 1,4580,Apartment (1-4 stories),818,37,13,0
Ward 1,4580,Manufactured/Mobile Home,0,0,0,0
Ward 1,4580,Institution/Collective Residence,0,0,1,0
Ward 1,4580,Hotel/Motel,0,0,0,0
Ward 1,4580,RV/Tent/Other,0,0,0,0
Ward 1,4580,No Response,0,0,0,0
Ward 1,4590,Single Detached House,519,9,4,0
Ward 1,4590,Duplex/Fourplex,38,1,2,0
Ward 1,4590,Row House,234,7,5,0
Ward 1,4590,Apartment (5+ stories),250,11,0,0
Ward 1,4590,Apartment (1-4 stories),396,89,0,0
Ward 1,4590,Manufactured/Mobile Home,0,0,0,0
Ward 1,4590,Institution/Collective Residence,61,2,0,0
Ward 1,4590,Hotel/Motel,0,0,0,0
Ward 1,4590,RV/Tent/Other,0,0,0,0
Ward 1,4590,No Response,0,0,0,0
Ward 1,4600,Single Detached House,0,0,0,0
Ward 1,4600,Duplex/Fourplex,0,0,0,0
Ward 1,4600,Row House,0,0,0,0
Ward 1,4600,Apartment (5+ stories),0,0,0,0
Ward 1,4600,Apartment (1-4 stories),0,0,0,0
Ward 1,4600,Manufactured/Mobile Home,0,0,0,0
Ward 1,4600,Institution/Collective Residence,0,0,0,0
Ward 1,4600,Hotel/Motel,0,0,0,0
Ward 1,4600,RV/Tent/Other,0,0,0,0
Ward 1,4600,No Response,0,0,0,0
Ward 1,4620,Single Detached House,1,0,0,0
Ward 1,4620,Duplex/Fourplex,0,0,0,0
Ward 1,4620,Row House,0,0,0,0
Ward 1,4620,Apartment (5+ stories),0,0,0,0
Ward 1,4620,Apartment (1-4 stories),0,0,0,0
Ward 1,4620,Manufactured/Mobile Home,1040,26,16,0
Ward 1,4620,Institution/Collective Residence,0,0,0,0
Ward 1,4620,Hotel/Motel,0,0,0,0
Ward 1,4620,RV/Tent/Other,1,0,0,0
Ward 1,4620,No Response,0,0,0,0
Ward 1,4630,Single Detached House,0,0,0,0
Ward 1,4630,Duplex/Fourplex,0,0,0,0
Ward 1,4630,Row House,0,0,0,0
Ward 1,4630,Apartment (5+ stories),0,0,0,0
Ward 1,4630,Apartment (1-4 stories),0,0,0,0
Ward 1,4630,Manufactured/Mobile Home,0,0,0,0
Ward 1,4630,Institution/Collective Residence,0,0,0,0
Ward 1,4630,Hotel/Motel,0,0,0,0
Ward 1,4630,RV/Tent/Other,0,0,0,0
Ward 1,4630,No Response,0,0,0,0
Ward 1,4640,Single Detached House,0,0,0,0
Ward 1,4640,Duplex/Fourplex,0,0,0,0
Ward 1,4640,Row House,0,0,0,0
Ward 1,4640,Apartment (5+ stories),0,0,0,0
Ward 1,4640,Apartment (1-4 stories),0,0,0,0
Ward 1,4640,Manufactured/Mobile Home,0,0,0,0
Ward 1,4640,Institution/Collective Residence,0,0,0,0
Ward 1,4640,Hotel/Motel,0,0,0,0
Ward 1,4640,RV/Tent/Other,0,0,0,0
Ward 1,4640,No Response,0,0,0,0
Ward 1,4650,Single Detached House,0,0,0,0
Ward 1,4650,Duplex/Fourplex,0,0,0,0
Ward 1,4650,Row House,0,0,0,0
Ward 1,4650,Apartment (5+ stories),0,0,0,0
Ward 1,4650,Apartment (1-4 stories),0,0,0,0
Ward 1,4650,Manufactured/Mobile Home,0,0,0,0
Ward 1,4650,Institution/Collective Residence,0,0,0,0
Ward 1,4650,Hotel/Motel,0,0,0,0
Ward 1,4650,RV/Tent/Other,0,0,0,0
Ward 1,4650,No Response,0,0,0,0
Ward 1,4660,Single Detached House,0,0,0,0
Ward 1,4660,Duplex/Fourplex,0,0,0,0
Ward 1,4660,Row House,0,0,0,0
Ward 1,4660,Apartment (5+ stories),0,0,0,0
Ward 1,4660,Apartment (1-4 stories),0,0,0,0
Ward 1,4660,Manufactured/Mobile Home,0,0,0,0
Ward 1,4660,Institution/Collective Residence,0,0,0,0
Ward 1,4660,Hotel/Motel,0,0,0,0
Ward 1,4660,RV/Tent/Other,0,0,0,0
Ward 1,4660,No Response,0,0,0,0
Ward 1,4670,Single Detached House,7,0,7,0
Ward 1,4670,Duplex/Fourplex,0,0,0,0
Ward 1,4670,Row House,0,0,0,0
Ward 1,4670,Apartment (5+ stories),0,0,0,0
Ward 1,4670,Apartment (1-4 stories),0,0,0,0
Ward 1,4670,Manufactured/Mobile Home,0,0,0,0
Ward 1,4670,Institution/Collective Residence,10,0,0,0
Ward 1,4670,Hotel/Motel,1,0,0,0
Ward 1,4670,RV/Tent/Other,1,0,0,0
Ward 1,4670,No Response,0,0,0,0
Ward 1,4700,Single Detached House,489,4,0,0
Ward 1,4700,Duplex/Fourplex,37,0,0,0
Ward 1,4700,Row House,0,0,0,0
Ward 1,4700,Apartment (5+ stories),0,0,0,0
Ward 1,4700,Apartment (1-4 stories),232,7,0,0
Ward 1,4700,Manufactured/Mobile Home,0,0,0,0
Ward 1,4700,Institution/Collective Residence,0,0,0,0
Ward 1,4700,Hotel/Motel,0,0,0,0
Ward 1,4700,RV/Tent/Other,0,0,0,0
Ward 1,4700,No Response,0,0,0,0
Ward 1,4710,Single Detached House,472,4,0,0
Ward 1,4710,Duplex/Fourplex,93,0,0,0
Ward 1,4710,Row House,0,0,0,0
Ward 1,4710,Apartment (5+ stories),0,0,0,0
Ward 1,4710,Apartment (1-4 stories),0,0,0,0
Ward 1,4710,Manufactured/Mobile Home,0,0,0,0
Ward 1,4710,Institution/Collective Residence,0,0,0,0
Ward 1,4710,Hotel/Motel,0,0,0,0
Ward 1,4710,RV/Tent/Other,0,0,0,0
Ward 1,4710,No Response,0,0,0,0
Ward 1,4730,Single Detached House,784,19,0,0
Ward 1,4730,Duplex/Fourplex,68,4,1,0
Ward 1,4730,Row House,14,0,0,0
Ward 1,4730,Apartment (5+ stories),0,0,0,0
Ward 1,4730,Apartment (1-4 stories),287,24,0,0
Ward 1,4730,Manufactured/Mobile Home,0,0,0,0
Ward 1,4730,Institution/Collective Residence,0,0,0,0
Ward 1,4730,Hotel/Motel,0,0,0,0
Ward 1,4730,RV/Tent/Other,2,0,5,0
Ward 1,4730,No Response,0,0,0,0
Ward 1,4740,Single Detached House,515,48,0,0
Ward 1,4740,Duplex/Fourplex,14,2,0,0
Ward 1,4740,Row House,0,0,0,0
Ward 1,4740,Apartment (5+ stories),0,0,0,0
Ward 1,4740,Apartment (1-4 stories),4,0,0,0
Ward 1,4740,Manufactured/Mobile Home,0,0,0,0
Ward 1,4740,Institution/Collective Residence,1,0,0,0
Ward 1,4740,Hotel/Motel,0,0,0,0
Ward 1,4740,RV/Tent/Other,3,1,0,0
